user,content,helpful_count,timestamp,recommendation
76561199167613476,nice,0,2024-12-15 18:47:03,True
76561199086343118,very much an amazing game i hope it last for a long time and the develpors dont give into greed,0,2024-12-15 17:12:27,True
76561199139864904,solo queuing is absolutely painful and makes me want to suck off a 9mm,0,2024-12-13 08:17:35,False
76561199375916971,"Overwatch is finally dead :)

10/10",0,2024-12-06 03:10:24,True
76561198393536423,great,1,2024-11-29 20:09:35,True
76561199122255796,good,0,2024-11-22 17:48:04,True
76561199154578778,GAYPEX LEGENDS,6,2024-11-15 02:51:19,False
76561199075435930,Skill issue,0,2024-11-12 19:50:51,True
76561198218445497,best,0,2024-11-10 17:35:38,True
76561198349192231,"nice headache gamesss
",1,2024-11-07 20:11:09,True
76561198820956269,its alright i guess.,0,2024-10-20 02:34:54,False
76561199089728902,less lesbians plz,3,2024-10-08 03:13:08,True
76561199228052529,Good game,0,2024-09-18 01:38:06,True
76561198129599229,Crashed twice in not even 30 minutes,0,2024-09-10 07:10:42,False
76561198085936479,"Purchased apex coins twice recently, charged me both times and gave me no coins. Trash game",5,2024-09-08 01:18:36,False
76561199150998673,COOL,1,2024-09-06 03:06:42,True
76561199006716820,"I used to like this game, then i grew up and stopped hating myself",4,2024-09-05 04:35:50,False
76561198107655838,wasted potential,0,2024-09-03 16:02:18,False
76561198037155002,I love the game. It's truely great. That being said i only play it because a few friends do from time to time. Reasoning for bad review is purely because of the massive amount of cheaters day in and day out that are simply allowed to rage cheat with no consequence. I 100% would not recommend to anyone unless they somehow figure out how to handle the cheating situation which i have no faith in that happening any time soon or ever for that matter.,0,2024-08-31 01:10:21,False
76561198368285752,"After maybe 2k hours with 3 accounts, maybe EA should have just let respawn handle the game and step out the office....",6,2024-08-20 21:24:43,False
76561198880732910,h,0,2024-08-13 17:24:52,True
76561198140437740,Game is actually broken now in season 22. This is the absolute worst one that has ever dropped and I seriously might have to uninstall now after playing sense season 0. Download this game right now if you want depression/uncontrollable bursts of anger,170,2024-08-09 06:26:15,False
76561198076598952,"Nerfed aim assist to the ground to the point of not existing anymore below sensitivity of 3. M&K will always have an advantage over controller players cause of snap aim, so nerfing their ability to aim is really dumb.",1,2024-08-08 04:04:46,False
76561199105573292,you enjoy your sanity? dont download this game,2,2024-08-06 22:29:03,True
76561198096037109,This used to be my favorite game to play at any time but the devs stopped caring about the players and it just became a money grap pay to win skins pay to win players then when we express what we want in the game the devs are like ok we got you then do the exact opposite and then they are like this is the best season ever just look at the fuckin reviews,0,2024-08-06 19:49:23,False
76561198182783439,Played this trash game developed by trash developers for way too long. I don't think there is a single chance EA and there Shareholders ever learn anything other than the concept of greed while turning a blind eye to the things it destroys.,5,2024-07-26 17:20:00,False
76561198310543980,索嗨游戏，吃屎去吧,0,2024-07-26 12:48:40,False
76561198093543756,"I had fun once upon a time, but now it's just silly. Hackers/cheaters everywhere.. Plus super expensive prices for boring content. uninstalled.... back to Titanfall2",4,2024-07-24 18:59:27,False
76561198343452603,"1.8k hours on Ea additive to the ones on here, and all i can say is: Ea fucked this game. Their greed is unmatched and all they do is run this game into the ground with it. Also they don’t really care for cheaters.",1,2024-07-24 09:00:07,False
76561198128383684,"For several years now, they have made little to no positive changes to the core game itself. The game is plagued by blatant cheaters that never seen to get banned. They are aggressively ramping up monetization despite the continual decline in the quality of the game. The base game itself is one of the best ever (just basic Titanfall stuff) but I would not recommend spending even a single minute playing this game anymore",0,2024-07-22 19:02:38,False
76561198025047808,I don’t like the new battle pass changes.,1,2024-07-22 11:35:40,False
76561198856197472,shame for this game to die because i love play this game with my friends,0,2024-07-22 02:37:32,False
76561198819278465,Truly one of the games of all time.,0,2024-07-21 04:59:21,False
76561198396889191,"Fix your server. Ban cheaters. Revert battlepass change. Please, don't kill this game.",2,2024-07-19 00:33:43,False
76561198087897426,"2 10 dollar battle passes per season

Titanfall died for this slop",1,2024-07-18 12:26:30,False
76561198347623868,"fun game but garbage monetization, EA games can go fuck itself lmao",1,2024-07-18 09:00:13,False
76561198110389819,EA is gonna EA,2,2024-07-17 17:42:49,False
